territorio,nome_territorio,anno,genere,stato,quota
082006,Bagheria,2021,T,in cerca,10.6
082006,Bagheria,2022,F,in cerca,9.1
082006,Bagheria,2022,M,in cerca,11.0
082006,Bagheria,2022,T,in cerca,10.1
082006,Bagheria,2023,F,in cerca,10.3
082006,Bagheria,2023,M,in cerca,12.5
082006,Bagheria,2023,T,in cerca,11.4
082006,Bagheria,2024,F,in cerca,6.9
082006,Bagheria,2024,M,in cerca,8.9
082006,Bagheria,2024,T,in cerca,7.9
082053,Palermo,2018,F,in cerca,18.8
082053,Palermo,2018,M,in cerca,20.4
082053,Palermo,2018,T,in cerca,19.6
082053,Palermo,2019,F,in cerca,17.7
082053,Palermo,2019,M,in cerca,20.0
082053,Palermo,2019,T,in cerca,18.9
082053,Palermo,2021,F,in cerca,8.7
082053,Palermo,2021,M,in cerca,11.8
082053,Palermo,2021,T,in cerca,10.3
082053,Palermo,2022,F,in cerca,9.0
082053,Palermo,2022,M,in cerca,11.1
082053,Palermo,2022,T,in cerca,10.0
082053,Palermo,2023,F,in cerca,8.4
082053,Palermo,2023,M,in cerca,10.7
082053,Palermo,2023,T,in cerca,9.6
082053,Palermo,2024,F,in cerca,7.2
082053,Palermo,2024,M,in cerca,9.3
082053,Palermo,2024,T,in cerca,8.3
IT,Italia,2018,F,in cerca,10.9
IT,Italia,2018,M,in cerca,11.3
IT,Italia,2018,T,in cerca,11.1
IT,Italia,2019,F,in cerca,9.7
IT,Italia,2019,M,in cerca,10.3
IT,Italia,2019,T,in cerca,10.0
IT,Italia,2021,F,in cerca,7.0
IT,Italia,2021,M,in cerca,7.4
IT,Italia,2021,T,in cerca,7.2
IT,Italia,2022,F,in cerca,6.3
IT,Italia,2022,M,in cerca,6.5
IT,Italia,2022,T,in cerca,6.4
IT,Italia,2023,F,in cerca,6.1
IT,Italia,2023,M,in cerca,6.3
IT,Italia,2023,T,in cerca,6.2
IT,Italia,2024,F,in cerca,5.9
IT,Italia,2024,M,in cerca,6.4
IT,Italia,2024,T,in cerca,6.2
ITG1,Sicilia,2018,F,in cerca,15.9
ITG1,Sicilia,2018,M,in cerca,17.1
ITG1,Sicilia,2018,T,in cerca,16.5
ITG1,Sicilia,2019,F,in cerca,15.3
ITG1,Sicilia,2019,M,in cerca,17.0
ITG1,Sicilia,2019,T,in cerca,16.2
ITG1,Sicilia,2021,F,in cerca,7.9
ITG1,Sicilia,2021,M,in cerca,10.2
ITG1,Sicilia,2021,T,in cerca,9.1
ITG1,Sicilia,2022,F,in cerca,8.3
ITG1,Sicilia,2022,M,in cerca,9.8
ITG1,Sicilia,2022,T,in cerca,9.1
ITG1,Sicilia,2023,F,in cerca,7.9
ITG1,Sicilia,2023,M,in cerca,9.4
ITG1,Sicilia,2023,T,in cerca,8.7
ITG1,Sicilia,2024,F,in cerca,6.6
ITG1,Sicilia,2024,M,in cerca,8.3
ITG1,Sicilia,2024,T,in cerca,7.5
082006,Bagheria,2018,F,studenti,57.4
082006,Bagheria,2018,M,studenti,51.0
082006,Bagheria,2018,T,studenti,54.1
082006,Bagheria,2019,F,studenti,62.1
082006,Bagheria,2019,M,studenti,55.4
082006,Bagheria,2019,T,studenti,58.7
082006,Bagheria,2021,F,studenti,63.9
082006,Bagheria,2021,M,studenti,56.5
082006,Bagheria,2021,T,studenti,60.1
082006,Bagheria,2022,F,studenti,64.5
082006,Bagheria,2022,M,studenti,57.8
082006,Bagheria,2022,T,studenti,61.1
082006,Bagheria,2023,F,studenti,60.9
082006,Bagheria,2023,M,studenti,54.4
082006,Bagheria,2023,T,studenti,57.6
082006,Bagheria,2024,F,studenti,65.1
082006,Bagheria,2024,M,studenti,56.4
082006,Bagheria,2024,T,studenti,60.7
082053,Palermo,2018,F,studenti,59.6
082053,Palermo,2018,M,studenti,54.6
082053,Palermo,2018,T,studenti,57.0
082053,Palermo,2019,F,studenti,61.8
082053,Palermo,2019,M,studenti,56.6
082053,Palermo,2019,T,studenti,59.1
082053,Palermo,2021,F,studenti,66.6
082053,Palermo,2021,M,studenti,60.6
082053,Palermo,2021,T,studenti,63.5
082053,Palermo,2022,F,studenti,67.3
082053,Palermo,2022,M,studenti,61.3
082053,Palermo,2022,T,studenti,64.2
082053,Palermo,2023,F,studenti,67.1
082053,Palermo,2023,M,studenti,61.0
082053,Palermo,2023,T,studenti,63.9
082053,Palermo,2024,F,studenti,66.8
082053,Palermo,2024,M,studenti,59.8
082053,Palermo,2024,T,studenti,63.2
IT,Italia,2018,F,studenti,64.8
IT,Italia,2018,M,studenti,56.9
IT,Italia,2018,T,studenti,60.7
IT,Italia,2019,F,studenti,66.8
IT,Italia,2019,M,studenti,58.1
IT,Italia,2019,T,studenti,62.3
IT,Italia,2021,F,studenti,67.4
IT,Italia,2021,M,studenti,58.3
IT,Italia,2021,T,studenti,62.7
IT,Italia,2022,F,studenti,68.5
IT,Italia,2022,M,studenti,59.2
IT,Italia,2022,T,studenti,63.6
IT,Italia,2023,F,studenti,68.4
IT,Italia,2023,M,studenti,58.8
IT,Italia,2023,T,studenti,63.4
IT,Italia,2024,F,studenti,67.8
IT,Italia,2024,M,studenti,57.4
IT,Italia,2024,T,studenti,62.3
ITG1,Sicilia,2018,F,studenti,60.1
ITG1,Sicilia,2018,M,studenti,52.3
ITG1,Sicilia,2018,T,studenti,56.0
ITG1,Sicilia,2019,F,studenti,63.0
ITG1,Sicilia,2019,M,studenti,54.9
ITG1,Sicilia,2019,T,studenti,58.8
ITG1,Sicilia,2021,F,studenti,66.0
ITG1,Sicilia,2021,M,studenti,57.2
ITG1,Sicilia,2021,T,studenti,61.4
ITG1,Sicilia,2022,F,studenti,67.1
ITG1,Sicilia,2022,M,studenti,58.4
ITG1,Sicilia,2022,T,studenti,62.6
ITG1,Sicilia,2023,F,studenti,67.6
ITG1,Sicilia,2023,M,studenti,58.6
ITG1,Sicilia,2023,T,studenti,62.9
ITG1,Sicilia,2024,F,studenti,67.8
ITG1,Sicilia,2024,M,studenti,57.0
ITG1,Sicilia,2024,T,studenti,62.2
082006,Bagheria,2018,F,casalinghe/i,12.4
082006,Bagheria,2018,M,casalinghe/i,0.8
082006,Bagheria,2018,T,casalinghe/i,6.4
082006,Bagheria,2019,F,casalinghe/i,10.9
082006,Bagheria,2019,M,casalinghe/i,0.9
082006,Bagheria,2019,T,casalinghe/i,5.7
082006,Bagheria,2021,F,casalinghe/i,14.8
082006,Bagheria,2021,M,casalinghe/i,1.5
082006,Bagheria,2021,T,casalinghe/i,8.0
082006,Bagheria,2022,F,casalinghe/i,12.8
082006,Bagheria,2022,M,casalinghe/i,1.4
082006,Bagheria,2022,T,casalinghe/i,6.9
082006,Bagheria,2023,F,casalinghe/i,14.6
082006,Bagheria,2023,M,casalinghe/i,1.8
082006,Bagheria,2023,T,casalinghe/i,8.1
082006,Bagheria,2024,F,casalinghe/i,13.4
082006,Bagheria,2024,M,casalinghe/i,1.7
082006,Bagheria,2024,T,casalinghe/i,7.4
082053,Palermo,2018,F,casalinghe/i,9.9
082053,Palermo,2018,M,casalinghe/i,0.7
082053,Palermo,2018,T,casalinghe/i,5.1
082053,Palermo,2019,F,casalinghe/i,9.7
082053,Palermo,2019,M,casalinghe/i,0.8
082053,Palermo,2019,T,casalinghe/i,5.1
082053,Palermo,2021,F,casalinghe/i,12.5
082053,Palermo,2021,M,casalinghe/i,1.4
082053,Palermo,2021,T,casalinghe/i,6.8
082053,Palermo,2022,F,casalinghe/i,10.2
082053,Palermo,2022,M,casalinghe/i,1.1
082053,Palermo,2022,T,casalinghe/i,5.5
082053,Palermo,2023,F,casalinghe/i,10.9
082053,Palermo,2023,M,casalinghe/i,1.4
082053,Palermo,2023,T,casalinghe/i,6.0
082053,Palermo,2024,F,casalinghe/i,11.3
082053,Palermo,2024,M,casalinghe/i,1.4
082053,Palermo,2024,T,casalinghe/i,6.2
IT,Italia,2018,F,casalinghe/i,5.0
IT,Italia,2018,M,casalinghe/i,0.3
IT,Italia,2018,T,casalinghe/i,2.5
IT,Italia,2019,F,casalinghe/i,4.6
IT,Italia,2019,M,casalinghe/i,0.4
IT,Italia,2019,T,casalinghe/i,2.4
IT,Italia,2021,F,casalinghe/i,5.7
IT,Italia,2021,M,casalinghe/i,0.6
IT,Italia,2021,T,casalinghe/i,3.0
IT,Italia,2022,F,casalinghe/i,4.6
IT,Italia,2022,M,casalinghe/i,0.4
IT,Italia,2022,T,casalinghe/i,2.4
IT,Italia,2023,F,casalinghe/i,4.4
IT,Italia,2023,M,casalinghe/i,0.5
IT,Italia,2023,T,casalinghe/i,2.4
IT,Italia,2024,F,casalinghe/i,4.6
IT,Italia,2024,M,casalinghe/i,0.6
IT,Italia,2024,T,casalinghe/i,2.5
ITG1,Sicilia,2018,F,casalinghe/i,9.9
ITG1,Sicilia,2018,M,casalinghe/i,0.7
ITG1,Sicilia,2018,T,casalinghe/i,5.1
ITG1,Sicilia,2019,F,casalinghe/i,9.1
ITG1,Sicilia,2019,M,casalinghe/i,0.8
ITG1,Sicilia,2019,T,casalinghe/i,4.8
ITG1,Sicilia,2021,F,casalinghe/i,12.0
ITG1,Sicilia,2021,M,casalinghe/i,1.4
ITG1,Sicilia,2021,T,casalinghe/i,6.5
ITG1,Sicilia,2022,F,casalinghe/i,10.0
ITG1,Sicilia,2022,M,casalinghe/i,1.0
ITG1,Sicilia,2022,T,casalinghe/i,5.3
ITG1,Sicilia,2023,F,casalinghe/i,9.9
ITG1,Sicilia,2023,M,casalinghe/i,1.2
ITG1,Sicilia,2023,T,casalinghe/i,5.4
ITG1,Sicilia,2024,F,casalinghe/i,10.1
ITG1,Sicilia,2024,M,casalinghe/i,1.2
ITG1,Sicilia,2024,T,casalinghe/i,5.5
082006,Bagheria,2018,F,altra condizione,7.9
082006,Bagheria,2018,M,altra condizione,17.9
082006,Bagheria,2018,T,altra condizione,13.0
082006,Bagheria,2019,F,altra condizione,4.7
082006,Bagheria,2019,M,altra condizione,12.3
082006,Bagheria,2019,T,altra condizione,8.6
082006,Bagheria,2021,F,altra condizione,6.1
082006,Bagheria,2021,M,altra condizione,15.7
082006,Bagheria,2021,T,altra condizione,11.1
082006,Bagheria,2022,F,altra condizione,5.8
082006,Bagheria,2022,M,altra condizione,14.0
082006,Bagheria,2022,T,altra condizione,10.0
082006,Bagheria,2023,F,altra condizione,6.1
082006,Bagheria,2023,M,altra condizione,15.8
082006,Bagheria,2023,T,altra condizione,11.0
082006,Bagheria,2024,F,altra condizione,6.4
082006,Bagheria,2024,M,altra condizione,16.1
082006,Bagheria,2024,T,altra condizione,11.3
082053,Palermo,2018,F,altra condizione,5.3
082053,Palermo,2018,M,altra condizione,12.2
082053,Palermo,2018,T,altra condizione,8.8
082053,Palermo,2019,F,altra condizione,3.8
082053,Palermo,2019,M,altra condizione,10.2
082053,Palermo,2019,T,altra condizione,7.1
082053,Palermo,2021,F,altra condizione,4.6
082053,Palermo,2021,M,altra condizione,12.0
082053,Palermo,2021,T,altra condizione,8.5
082053,Palermo,2022,F,altra condizione,4.8
082053,Palermo,2022,M,altra condizione,11.1
082053,Palermo,2022,T,altra condizione,8.0
082053,Palermo,2023,F,altra condizione,4.4
082053,Palermo,2023,M,altra condizione,11.2
082053,Palermo,2023,T,altra condizione,7.9
082053,Palermo,2024,F,altra condizione,5.0
082053,Palermo,2024,M,altra condizione,12.5
082053,Palermo,2024,T,altra condizione,8.9
IT,Italia,2018,F,altra condizione,5.1
IT,Italia,2018,M,altra condizione,9.0
IT,Italia,2018,T,altra condizione,7.2
IT,Italia,2019,F,altra condizione,4.3
IT,Italia,2019,M,altra condizione,8.0
IT,Italia,2019,T,altra condizione,6.2
IT,Italia,2021,F,altra condizione,4.9
IT,Italia,2021,M,altra condizione,8.7
IT,Italia,2021,T,altra condizione,6.9
IT,Italia,2022,F,altra condizione,4.1
IT,Italia,2022,M,altra condizione,7.5
IT,Italia,2022,T,altra condizione,5.9
IT,Italia,2023,F,altra condizione,4.1
IT,Italia,2023,M,altra condizione,7.7
IT,Italia,2023,T,altra condizione,6.0
IT,Italia,2024,F,altra condizione,4.4
IT,Italia,2024,M,altra condizione,8.5
IT,Italia,2024,T,altra condizione,6.5
ITG1,Sicilia,2018,F,altra condizione,6.5
ITG1,Sicilia,2018,M,altra condizione,14.9
ITG1,Sicilia,2018,T,altra condizione,10.9
ITG1,Sicilia,2019,F,altra condizione,4.5
ITG1,Sicilia,2019,M,altra condizione,11.7
ITG1,Sicilia,2019,T,altra condizione,8.2
ITG1,Sicilia,2021,F,altra condizione,5.5
ITG1,Sicilia,2021,M,altra condizione,13.7
ITG1,Sicilia,2021,T,altra condizione,9.8
ITG1,Sicilia,2022,F,altra condizione,5.1
ITG1,Sicilia,2022,M,altra condizione,11.7
ITG1,Sicilia,2022,T,altra condizione,8.6
ITG1,Sicilia,2023,F,altra condizione,4.5
ITG1,Sicilia,2023,M,altra condizione,11.2
ITG1,Sicilia,2023,T,altra condizione,8.0
ITG1,Sicilia,2024,F,altra condizione,5.1
ITG1,Sicilia,2024,M,altra condizione,12.7
ITG1,Sicilia,2024,T,altra condizione,9.1
082006,Bagheria,2018,F,pensione,0.1
082006,Bagheria,2018,M,pensione,0.2
082006,Bagheria,2018,T,pensione,0.1
082006,Bagheria,2019,F,pensione,0.1
082006,Bagheria,2019,M,pensione,0.3
082006,Bagheria,2019,T,pensione,0.2
082006,Bagheria,2021,F,pensione,0.1
082006,Bagheria,2021,M,pensione,0.3
082006,Bagheria,2021,T,pensione,0.2
082006,Bagheria,2022,F,pensione,0.1
082006,Bagheria,2022,M,pensione,0.3
082006,Bagheria,2022,T,pensione,0.2
082006,Bagheria,2023,F,pensione,0.1
082006,Bagheria,2023,M,pensione,0.3
082006,Bagheria,2023,T,pensione,0.2
082006,Bagheria,2024,F,pensione,0.1
082006,Bagheria,2024,M,pensione,0.4
082006,Bagheria,2024,T,pensione,0.3
082053,Palermo,2018,F,pensione,0.1
082053,Palermo,2018,M,pensione,0.2
082053,Palermo,2018,T,pensione,0.1
082053,Palermo,2019,F,pensione,0.1
082053,Palermo,2019,M,pensione,0.2
082053,Palermo,2019,T,pensione,0.2
082053,Palermo,2021,F,pensione,0.1
082053,Palermo,2021,M,pensione,0.2
082053,Palermo,2021,T,pensione,0.1
082053,Palermo,2022,F,pensione,0.1
082053,Palermo,2022,M,pensione,0.3
082053,Palermo,2022,T,pensione,0.2
082053,Palermo,2023,F,pensione,0.1
082053,Palermo,2023,M,pensione,0.3
082053,Palermo,2023,T,pensione,0.2
082053,Palermo,2024,F,pensione,0.1
082053,Palermo,2024,M,pensione,0.4
082053,Palermo,2024,T,pensione,0.3
IT,Italia,2018,F,pensione,0.1
IT,Italia,2018,M,pensione,0.1
IT,Italia,2018,T,pensione,0.1
IT,Italia,2019,F,pensione,0.1
IT,Italia,2019,M,pensione,0.2
IT,Italia,2019,T,pensione,0.1
IT,Italia,2021,F,pensione,0.1
IT,Italia,2021,M,pensione,0.2
IT,Italia,2021,T,pensione,0.2
IT,Italia,2022,F,pensione,0.1
IT,Italia,2022,M,pensione,0.3
IT,Italia,2022,T,pensione,0.2
IT,Italia,2023,F,pensione,0.1
IT,Italia,2023,M,pensione,0.2
IT,Italia,2023,T,pensione,0.2
IT,Italia,2024,F,pensione,0.1
IT,Italia,2024,M,pensione,0.3
IT,Italia,2024,T,pensione,0.2
ITG1,Sicilia,2018,F,pensione,0.1
ITG1,Sicilia,2018,M,pensione,0.2
ITG1,Sicilia,2018,T,pensione,0.2
ITG1,Sicilia,2019,F,pensione,0.1
ITG1,Sicilia,2019,M,pensione,0.3
ITG1,Sicilia,2019,T,pensione,0.2
ITG1,Sicilia,2021,F,pensione,0.1
ITG1,Sicilia,2021,M,pensione,0.3
ITG1,Sicilia,2021,T,pensione,0.2
ITG1,Sicilia,2022,F,pensione,0.1
ITG1,Sicilia,2022,M,pensione,0.4
ITG1,Sicilia,2022,T,pensione,0.2
ITG1,Sicilia,2023,F,pensione,0.1
ITG1,Sicilia,2023,M,pensione,0.3
ITG1,Sicilia,2023,T,pensione,0.2
ITG1,Sicilia,2024,F,pensione,0.1
ITG1,Sicilia,2024,M,pensione,0.5
ITG1,Sicilia,2024,T,pensione,0.3
